project_id,project_name,reporting_month,month_number,ministry,sector,state,implementing_agency_type,original_cost_crore,latest_revised_cost_crore,cumulative_expenditure_crore,planned_duration_months,elapsed_duration_months,schedule_consumption_pct,expected_physical_progress_pct,physical_progress_pct,financial_progress_pct,progress_gap_pct,financial_physical_gap_pct,milestones_total,milestones_expected_to_date,milestones_delayed,milestone_delay_rate_pct,land_acquisition_delay,clearance_delay,contractor_delay,funding_issue,expenditure_ratio_pct,observable_risk_score,final_cost_overrun_pct,final_time_overrun_pct,final_cost_overrun_flag,final_time_overrun_flag,final_major_risk_flag,final_revised_cost_crore,final_actual_duration_months,dataset_split
PAI-00009,Demo Infrastructure Project 0009,2025-01,1,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,581.19,40.94,56,5,8.93,7.92,0.15,6.73,7.77,6.59,30,2,1.0,50.0,1.0,0.0,0.0,0.0,7.04,31.13,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-02,2,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,590.13,114.83,56,9,16.07,14.44,10.57,16.56,3.88,6.0,30,5,1.0,20.0,0.0,0.0,0.0,0.0,19.46,14.64,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-03,3,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,600.05,158.41,56,14,25.0,20.87,14.89,20.29,5.98,5.41,30,7,3.0,42.86,0.0,0.0,0.0,1.0,26.4,26.24,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-04,4,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,610.67,187.21,56,19,33.93,34.73,28.67,36.89,6.06,8.22,30,10,3.0,30.0,0.0,0.0,0.0,,30.66,21.79,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-05,5,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,621.84,241.85,56,23,41.07,41.31,39.06,42.28,2.25,3.22,30,12,5.0,41.67,1.0,0.0,0.0,1.0,38.89,25.26,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-06,6,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,633.46,303.85,56,28,50.0,50.68,47.24,58.09,3.44,10.85,30,15,5.0,33.33,0.0,1.0,1.0,0.0,47.97,38.09,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-07,7,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,645.49,314.7,56,33,58.93,58.22,53.27,56.76,4.95,3.49,30,17,4.0,23.53,1.0,0.0,1.0,0.0,48.75,29.17,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-08,8,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,657.86,384.75,56,37,66.07,66.51,61.65,64.84,4.87,3.19,30,20,5.0,25.0,0.0,1.0,0.0,0.0,58.49,25.32,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-09,9,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,670.54,432.99,56,42,75.0,75.33,65.67,70.98,9.66,5.31,30,22,8.0,36.36,0.0,0.0,0.0,0.0,64.57,28.67,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-10,10,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,683.51,461.19,56,47,83.93,82.95,77.25,84.58,5.7,7.33,30,25,9.0,36.0,0.0,0.0,0.0,1.0,67.47,31.2,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-11,11,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,696.75,484.88,56,51,91.07,90.99,84.88,96.21,6.1,11.33,30,27,11.0,40.74,0.0,0.0,0.0,0.0,69.59,30.43,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00009,Demo Infrastructure Project 0009,2025-12,12,Ministry of Housing & Urban Affairs,Transport & Logistics,West Bengal,State-linked Implementing Agency,574.3,710.22,565.14,56,56,100.0,97.99,91.37,98.95,6.62,7.58,30,30,10.0,33.33,0.0,0.0,0.0,0.0,79.57,30.91,23.67,13.13,1,1,1,710.22,64,live_demo
PAI-00032,Demo Infrastructure Project 0032,2025-01,1,Ministry of Power,Mining,Madhya Pradesh,Central Government Department,2868.94,2874.45,229.51,52,4,7.69,10.56,8.6,20.48,1.96,11.89,25,2,0.0,0.0,1.0,0.0,0.0,0.0,7.98,22.44,3.79,0.07,0,0,0,2977.64,53,live_demo
