project_id,project_name,reporting_month,month_number,ministry,sector,state,implementing_agency_type,original_cost_crore,latest_revised_cost_crore,cumulative_expenditure_crore,planned_duration_months,elapsed_duration_months,schedule_consumption_pct,expected_physical_progress_pct,physical_progress_pct,financial_progress_pct,progress_gap_pct,financial_physical_gap_pct,milestones_total,milestones_expected_to_date,milestones_delayed,milestone_delay_rate_pct,land_acquisition_delay,clearance_delay,contractor_delay,funding_issue,expenditure_ratio_pct,observable_risk_score,final_cost_overrun_pct,final_time_overrun_pct,final_cost_overrun_flag,final_time_overrun_flag,final_major_risk_flag,final_revised_cost_crore,final_actual_duration_months,dataset_split
PAI-00004,Demo Infrastructure Project 0004,2025-01,1,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,999.92,107.45,88,7,7.95,10.35,9.26,11.23,1.09,1.97,10,0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,0.43,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-02,2,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1006.33,196.32,88,15,17.05,18.53,13.18,24.58,5.35,11.39,10,1,0.0,0.0,1.0,0.0,0.0,0.0,19.51,18.1,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-03,3,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1013.44,266.09,88,22,25.0,25.05,19.91,20.81,5.14,0.9,10,2,0.0,0.0,0.0,0.0,1.0,0.0,26.26,20.16,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-04,4,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1021.05,328.19,88,29,32.95,32.08,32.44,45.04,-0.35,12.6,10,3,1.0,33.33,0.0,0.0,0.0,0.0,32.14,17.3,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-05,5,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1029.05,397.9,88,37,42.05,41.72,40.97,45.87,0.75,4.91,10,4,1.0,25.0,0.0,0.0,1.0,0.0,38.67,23.98,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-06,6,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1037.38,431.93,88,44,50.0,51.01,44.49,48.62,6.52,4.13,10,5,1.0,20.0,0.0,0.0,0.0,1.0,41.64,19.95,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-07,7,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1046.0,536.35,88,51,57.95,55.34,50.55,51.81,4.79,1.26,10,5,1.0,20.0,1.0,0.0,0.0,1.0,51.28,18.41,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-08,8,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1054.86,577.02,88,59,67.05,67.17,61.82,64.52,5.35,2.7,10,6,2.0,33.33,0.0,0.0,0.0,0.0,54.7,21.51,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-09,9,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1063.95,702.15,88,66,75.0,76.53,77.68,81.67,-1.15,3.98,10,7,2.0,28.57,1.0,1.0,0.0,0.0,65.99,26.64,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-10,10,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1073.25,756.88,88,73,82.95,83.21,75.52,80.85,7.7,5.33,10,8,1.0,12.5,0.0,0.0,,0.0,70.52,28.07,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-11,11,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1082.73,850.65,88,81,92.05,91.63,86.81,93.76,4.82,6.95,10,9,3.0,33.33,1.0,0.0,0.0,0.0,78.57,29.5,9.79,5.28,0,0,0,1092.39,93,train
PAI-00004,Demo Infrastructure Project 0004,2025-12,12,Ministry of Coal,Social Infrastructure,Rajasthan,State-linked Implementing Agency,994.99,1092.39,924.64,88,88,100.0,98.55,91.45,95.41,7.09,3.96,10,10,1.0,10.0,0.0,0.0,1.0,0.0,84.64,30.6,9.79,5.28,0,0,0,1092.39,93,train
PAI-00005,Demo Infrastructure Project 0005,2025-01,1,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,463.9,57.31,75,6,8.0,8.13,10.86,10.9,-2.74,0.04,19,1,0.0,0.0,1.0,1.0,0.0,0.0,12.35,12.0,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-02,2,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,467.97,98.82,75,12,16.0,13.82,8.55,17.96,5.27,9.41,19,3,1.0,33.33,0.0,0.0,1.0,0.0,21.12,33.51,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-03,3,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,472.48,125.09,75,19,25.33,25.01,26.59,35.27,-1.58,8.68,19,4,2.0,50.0,0.0,0.0,0.0,0.0,26.48,26.87,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-04,4,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,477.31,179.98,75,25,33.33,33.42,29.44,34.41,3.98,4.97,19,6,2.0,33.33,0.0,0.0,0.0,0.0,37.71,18.45,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-05,5,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,482.4,189.23,75,31,41.33,43.5,38.65,45.78,4.85,7.14,19,7,3.0,42.86,0.0,0.0,0.0,0.0,39.23,26.89,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-06,6,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,487.69,235.35,75,38,50.67,49.79,46.79,55.15,3.0,8.36,19,9,4.0,44.44,0.0,1.0,0.0,0.0,48.26,33.87,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-07,7,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,493.16,275.17,75,44,58.67,57.36,52.76,,4.6,11.3,19,11,5.0,45.45,,1.0,0.0,0.0,55.8,35.77,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-08,8,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,498.79,314.05,75,50,66.67,68.03,56.62,61.58,11.42,4.97,19,12,4.0,33.33,1.0,0.0,1.0,0.0,62.96,45.27,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-09,9,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,504.56,355.36,75,56,74.67,77.06,65.64,72.24,11.42,6.6,19,14,4.0,28.57,0.0,0.0,1.0,0.0,70.43,39.35,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-10,10,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,510.47,378.38,75,62,82.67,80.4,63.69,75.32,16.71,11.63,19,15,7.0,46.67,0.0,0.0,0.0,0.0,74.12,49.4,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-11,11,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,516.49,427.16,75,69,92.0,90.45,86.65,99.08,3.8,12.43,19,17,7.0,41.18,1.0,0.0,0.0,0.0,82.7,35.7,13.43,38.13,1,1,1,522.63,104,train
PAI-00005,Demo Infrastructure Project 0005,2025-12,12,Ministry of Power,Transport & Logistics,Maharashtra,Railway Agency,460.76,522.63,436.74,75,75,100.0,95.6,81.01,100.0,14.59,18.99,19,19,8.0,42.11,0.0,0.0,0.0,1.0,83.57,45.49,13.43,38.13,1,1,1,522.63,104,train
PAI-00006,Demo Infrastructure Project 0006,2025-01,1,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,602.86,95.23,35,3,8.57,7.58,4.9,12.7,2.68,7.81,10,0,0.0,0.0,1.0,0.0,0.0,0.0,15.8,14.75,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-02,2,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,608.26,103.17,35,6,17.14,16.49,18.74,25.88,-2.25,7.15,10,1,0.0,0.0,1.0,0.0,0.0,0.0,16.96,12.21,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-03,3,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,614.26,143.18,35,9,25.71,25.88,28.46,37.83,-2.58,9.38,10,2,1.0,50.0,0.0,0.0,0.0,0.0,23.31,23.45,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-04,4,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,620.68,198.7,35,12,34.29,34.24,33.2,38.59,1.04,5.39,10,3,1.0,33.33,1.0,0.0,0.0,0.0,32.01,20.41,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-05,5,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,627.44,238.81,35,15,42.86,40.25,36.59,42.01,3.66,5.41,10,4,,25.0,1.0,0.0,1.0,1.0,38.06,28.15,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-06,6,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,634.47,284.49,35,18,51.43,48.0,40.16,43.71,7.84,3.55,10,5,1.0,20.0,0.0,0.0,1.0,1.0,44.84,30.78,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-07,7,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,641.74,339.06,35,20,57.14,61.59,55.96,70.43,5.63,14.48,10,5,2.0,40.0,1.0,0.0,1.0,0.0,52.84,42.24,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-08,8,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,649.22,354.87,35,23,65.71,66.39,59.29,65.73,7.11,6.44,10,6,2.0,33.33,,0.0,0.0,0.0,54.66,29.69,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-09,9,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,656.89,439.11,35,26,74.29,74.05,70.56,76.65,3.49,6.09,10,7,2.0,28.57,0.0,0.0,0.0,1.0,66.85,22.31,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-10,10,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,664.73,487.78,35,29,82.86,83.97,75.82,85.94,8.16,10.13,10,8,2.0,25.0,0.0,0.0,,0.0,73.38,33.92,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-11,11,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,672.73,493.61,35,32,91.43,89.73,84.41,91.81,5.32,7.4,10,9,3.0,33.33,1.0,0.0,0.0,0.0,73.37,36.39,13.73,10.14,1,1,1,680.88,39,train
PAI-00006,Demo Infrastructure Project 0006,2025-12,12,Ministry of Steel,Mining,Chhattisgarh,PSU,598.69,680.88,571.11,35,35,100.0,98.57,86.02,84.09,12.55,-1.93,10,10,4.0,40.0,0.0,0.0,0.0,1.0,83.88,30.93,13.73,10.14,1,1,1,680.88,39,train
PAI-00007,Demo Infrastructure Project 0007,2025-01,1,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,616.67,63.8,72,6,8.33,10.08,5.86,11.2,4.22,5.35,23,1,0.0,0.0,0.0,0.0,0.0,0.0,10.35,7.65,12.48,34.51,1,1,1,689.28,97,train
