project_id,project_name,reporting_month,month_number,ministry,sector,state,implementing_agency_type,original_cost_crore,latest_revised_cost_crore,cumulative_expenditure_crore,planned_duration_months,elapsed_duration_months,schedule_consumption_pct,expected_physical_progress_pct,physical_progress_pct,financial_progress_pct,progress_gap_pct,financial_physical_gap_pct,milestones_total,milestones_expected_to_date,milestones_delayed,milestone_delay_rate_pct,land_acquisition_delay,clearance_delay,contractor_delay,funding_issue,expenditure_ratio_pct,observable_risk_score,final_cost_overrun_pct,final_time_overrun_pct,final_cost_overrun_flag,final_time_overrun_flag,final_major_risk_flag,final_revised_cost_crore,final_actual_duration_months,dataset_split,cost_risk_probability,time_risk_probability,overall_risk_score,risk_level,risk_change,risk_change_3m,early_warning
PAI-00001,Demo Infrastructure Project 0001,2025-01,1,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,192.76,11.1,42,4,9.52,8.16,1.85,6.43,6.32,4.58,14,1,0.0,0.0,1.0,0.0,0.0,0.0,5.76,13.82,21.86,27.1,1,1,1,232.33,54,test,62.35348,54.925762,58.63962,MEDIUM,,,WATCH
PAI-00001,Demo Infrastructure Project 0001,2025-02,2,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,195.5,39.65,42,7,16.67,13.43,8.08,17.44,5.35,9.36,14,2,1.0,50.0,0.0,1.0,1.0,1.0,20.28,41.67,21.86,27.1,1,1,1,232.33,54,test,88.36278,87.9511,88.15694,HIGH,29.517315,,CRITICAL
PAI-00001,Demo Infrastructure Project 0001,2025-03,3,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,198.54,42.6,42,10,23.81,24.49,24.07,33.14,0.41,9.07,14,3,1.0,33.33,0.0,1.0,0.0,0.0,21.46,26.83,21.86,27.1,1,1,1,232.33,54,test,74.007614,74.146996,74.0773,HIGH,-14.079636,,WATCH
PAI-00001,Demo Infrastructure Project 0001,2025-04,4,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,201.8,64.59,42,14,33.33,36.28,36.3,41.92,-0.02,5.61,14,4,1.0,25.0,0.0,0.0,0.0,0.0,32.0,18.11,21.86,27.1,1,1,1,232.33,54,test,65.32875,60.594826,62.96179,MEDIUM,-11.115513,4.3221664,WATCH
PAI-00001,Demo Infrastructure Project 0001,2025-05,5,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,205.22,80.86,42,18,42.86,40.47,42.09,52.79,-1.62,10.7,14,5,1.0,20.0,0.0,,1.0,0.0,39.4,26.21,21.86,27.1,1,1,1,232.33,54,test,63.934547,67.12451,65.529526,MEDIUM,2.5677376,-22.62741,WATCH
PAI-00001,Demo Infrastructure Project 0001,2025-06,6,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,208.79,89.33,42,21,50.0,54.36,43.81,49.19,10.55,5.38,14,7,3.0,42.86,0.0,0.0,0.0,0.0,42.78,28.41,21.86,27.1,1,1,1,232.33,54,test,91.3585,85.15778,88.25813,HIGH,22.728607,14.180832,CRITICAL
PAI-00001,Demo Infrastructure Project 0001,2025-07,7,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,212.48,108.43,42,24,57.14,59.96,51.82,62.97,8.14,11.15,14,8,2.0,25.0,0.0,0.0,1.0,0.0,51.03,39.74,21.86,27.1,1,1,1,232.33,54,test,75.43772,76.96265,76.20018,HIGH,-12.057953,13.238392,WATCH
PAI-00001,Demo Infrastructure Project 0001,2025-08,8,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,216.27,125.13,42,28,66.67,66.38,56.54,67.63,9.84,11.1,14,9,4.0,44.44,0.0,,1.0,0.0,57.86,43.33,21.86,27.1,1,1,1,232.33,54,test,94.04286,91.558876,92.800865,HIGH,16.600685,27.27134,CRITICAL
PAI-00001,Demo Infrastructure Project 0001,2025-09,9,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,220.16,136.91,42,32,76.19,75.45,69.88,81.24,5.57,11.35,14,10,4.0,40.0,0.0,0.0,0.0,0.0,62.18,35.44,21.86,27.1,1,1,1,232.33,54,test,93.48429,83.76668,88.62549,HIGH,-4.175377,0.36735535,CRITICAL
PAI-00001,Demo Infrastructure Project 0001,2025-10,10,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,224.14,155.0,42,35,83.33,84.08,77.57,85.94,6.52,8.37,14,11,5.0,45.45,0.0,0.0,1.0,0.0,69.15,40.52,21.86,27.1,1,1,1,232.33,54,test,96.09807,83.88435,89.99121,HIGH,1.3657227,13.791031,CRITICAL
PAI-00001,Demo Infrastructure Project 0001,2025-11,11,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,228.2,165.28,42,38,90.48,90.51,83.74,88.55,6.77,4.81,14,12,4.0,33.33,1.0,0.0,0.0,0.0,72.43,33.42,21.86,27.1,1,1,1,232.33,54,test,86.076836,65.08506,75.58095,HIGH,-14.410263,-17.219917,WATCH
PAI-00001,Demo Infrastructure Project 0001,2025-12,12,Ministry of Jal Shakti,Coal,Assam,Central Government Department,190.65,232.33,180.67,42,42,100.0,99.17,97.88,100.0,1.29,2.12,14,14,5.0,35.71,0.0,0.0,1.0,1.0,77.77,31.87,21.86,27.1,1,1,1,232.33,54,test,92.274506,58.298744,75.28663,HIGH,-0.29431915,-13.33886,WATCH
PAI-00002,Demo Infrastructure Project 0002,2025-01,1,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,533.03,57.79,60,5,8.33,5.74,7.11,10.61,-1.38,3.5,13,1,0.0,0.0,1.0,1.0,0.0,0.0,10.84,13.49,21.84,36.4,1,1,1,642.3,82,test,52.480774,80.34499,66.41289,MEDIUM,,,WATCH
PAI-00002,Demo Infrastructure Project 0002,2025-02,2,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,540.6,79.08,60,10,16.67,16.96,15.94,20.69,1.02,4.75,13,2,0.0,0.0,0.0,1.0,1.0,0.0,14.63,16.77,21.84,36.4,1,1,1,642.3,82,test,33.35125,76.65125,55.00125,MEDIUM,-11.411636,,WATCH
